project,model,feature,test_plan,score,full_points,normalized_score,num_steps,steps_passed,steps_failed,steps_not_evaluated,is_complete_pass,is_complete_fail,is_seeding_failure,is_build_failure,build_iterations,file_path
furniture_freight,kimi_k3_gke,feature3,test1,27,27,100.00,4,4,0,0,True,False,False,False,113,/workspace/results/furniture_freight/kimi_k3_gke/feature3/test_plans/test1/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature3,test2,40,40,100.00,5,5,0,0,True,False,False,False,113,/workspace/results/furniture_freight/kimi_k3_gke/feature3/test_plans/test2/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature3,test3,27,27,100.00,3,3,0,0,True,False,False,False,113,/workspace/results/furniture_freight/kimi_k3_gke/feature3/test_plans/test3/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature1,regression,14,14,100.00,5,5,0,0,True,False,False,False,52,/workspace/results/hvac/kimi_k3_gke/feature1/test_plans/regression/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature1,test1,0,19,0.00,6,0,6,0,False,True,False,False,52,/workspace/results/hvac/kimi_k3_gke/feature1/test_plans/test1/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature1,test2,0,19,0.00,8,0,8,0,False,True,False,False,52,/workspace/results/hvac/kimi_k3_gke/feature1/test_plans/test2/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature1,test3,0,25,0.00,8,0,8,0,False,True,False,False,52,/workspace/results/hvac/kimi_k3_gke/feature1/test_plans/test3/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature2,regression,70,70,100.00,6,6,0,0,True,False,False,False,70,/workspace/results/hvac/kimi_k3_gke/feature2/test_plans/regression/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature2,test1,45,45,100.00,3,3,0,0,True,False,False,False,70,/workspace/results/hvac/kimi_k3_gke/feature2/test_plans/test1/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature2,test2,90,90,100.00,6,6,0,0,True,False,False,False,70,/workspace/results/hvac/kimi_k3_gke/feature2/test_plans/test2/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature2,test3,90,90,100.00,5,5,0,0,True,False,False,False,70,/workspace/results/hvac/kimi_k3_gke/feature2/test_plans/test3/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature3,regression,40,40,100.00,4,4,0,0,True,False,False,False,66,/workspace/results/hvac/kimi_k3_gke/feature3/test_plans/regression/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature3,test1,35,35,100.00,3,3,0,0,True,False,False,False,66,/workspace/results/hvac/kimi_k3_gke/feature3/test_plans/test1/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature3,test2,60,60,100.00,6,6,0,0,True,False,False,False,66,/workspace/results/hvac/kimi_k3_gke/feature3/test_plans/test2/agent_evaluation/evaluation-finished.json
hvac,kimi_k3_gke,feature3,test3,48,48,100.00,5,5,0,0,True,False,False,False,66,/workspace/results/hvac/kimi_k3_gke/feature3/test_plans/test3/agent_evaluation/evaluation-finished.json
market_place,kimi_k3_gke,feature1,test1,37,37,100.00,6,6,0,0,True,False,False,False,128,/workspace/results/market_place/kimi_k3_gke/feature1/test_plans/test1/agent_evaluation/evaluation-finished.json
market_place,kimi_k3_gke,feature1,test2,36,36,100.00,6,6,0,0,True,False,False,False,128,/workspace/results/market_place/kimi_k3_gke/feature1/test_plans/test2/agent_evaluation/evaluation-finished.json
market_place,kimi_k3_gke,feature1,test3,31,31,100.00,6,6,0,0,True,False,False,False,128,/workspace/results/market_place/kimi_k3_gke/feature1/test_plans/test3/agent_evaluation/evaluation-finished.json
market_place,kimi_k3_gke,feature4,regression,29,29,100.00,6,6,0,0,True,False,False,False,174,/workspace/results/market_place/kimi_k3_gke/feature4/test_plans/regression/agent_evaluation/evaluation-finished.json
market_place,kimi_k3_gke,feature4,test1,46,46,100.00,8,8,0,0,True,False,False,False,174,/workspace/results/market_place/kimi_k3_gke/feature4/test_plans/test1/agent_evaluation/evaluation-finished.json
market_place,kimi_k3_gke,feature4,test2,38,42,90.48,7,6,1,0,False,False,False,False,174,/workspace/results/market_place/kimi_k3_gke/feature4/test_plans/test2/agent_evaluation/evaluation-finished.json
monopoly,kimi_k3_gke,feature2,regression,49,60,81.67,9,8,1,0,False,False,False,False,193,/workspace/results/monopoly/kimi_k3_gke/feature2/test_plans/regression/agent_evaluation/evaluation-finished.json
monopoly,kimi_k3_gke,feature2,test1,70,70,100.00,9,9,0,0,True,False,False,False,193,/workspace/results/monopoly/kimi_k3_gke/feature2/test_plans/test1/agent_evaluation/evaluation-finished.json
monopoly,kimi_k3_gke,feature2,test2,70,70,100.00,13,13,0,0,True,False,False,False,193,/workspace/results/monopoly/kimi_k3_gke/feature2/test_plans/test2/agent_evaluation/evaluation-finished.json
online_whiteboard,kimi_k3_gke,feature1,regression,40,40,100.00,4,4,0,0,True,False,False,False,62,/workspace/results/online_whiteboard/kimi_k3_gke/feature1/test_plans/regression/agent_evaluation/evaluation-finished.json
online_whiteboard,kimi_k3_gke,feature1,test1,42,52,80.77,5,4,1,0,False,False,False,False,62,/workspace/results/online_whiteboard/kimi_k3_gke/feature1/test_plans/test1/agent_evaluation/evaluation-finished.json
online_whiteboard,kimi_k3_gke,feature1,test2,32,52,61.54,5,3,2,0,False,False,False,False,62,/workspace/results/online_whiteboard/kimi_k3_gke/feature1/test_plans/test2/agent_evaluation/evaluation-finished.json
pilot_logbook,kimi_k3_gke,feature1,regression,43,43,100.00,7,7,0,0,True,False,False,False,139,/workspace/results/pilot_logbook/kimi_k3_gke/feature1/test_plans/regression/agent_evaluation/evaluation-finished.json
pilot_logbook,kimi_k3_gke,feature1,test1,68,68,100.00,10,10,0,0,True,False,False,False,139,/workspace/results/pilot_logbook/kimi_k3_gke/feature1/test_plans/test1/agent_evaluation/evaluation-finished.json
pilot_logbook,kimi_k3_gke,feature2,regression,52,52,100.00,7,7,0,0,True,False,False,False,172,/workspace/results/pilot_logbook/kimi_k3_gke/feature2/test_plans/regression/agent_evaluation/evaluation-finished.json
pilot_logbook,kimi_k3_gke,feature2,test1,26,54,48.15,7,4,3,0,False,False,False,False,172,/workspace/results/pilot_logbook/kimi_k3_gke/feature2/test_plans/test1/agent_evaluation/evaluation-finished.json
pilot_logbook,kimi_k3_gke,feature2,test2,16,54,29.63,6,2,4,0,False,False,False,False,172,/workspace/results/pilot_logbook/kimi_k3_gke/feature2/test_plans/test2/agent_evaluation/evaluation-finished.json
pilot_logbook,kimi_k3_gke,feature2,test3,0,94,0.00,12,0,12,0,False,True,False,False,172,/workspace/results/pilot_logbook/kimi_k3_gke/feature2/test_plans/test3/agent_evaluation/evaluation-finished.json
pilot_logbook,kimi_k3_gke,feature3,regression,35,35,100.00,5,5,0,0,True,False,False,False,148,/workspace/results/pilot_logbook/kimi_k3_gke/feature3/test_plans/regression/agent_evaluation/evaluation-finished.json
slack,kimi_k3_gke,feature1,regression,14,40,35.00,5,2,3,0,False,False,False,False,86,/workspace/results/slack/kimi_k3_gke/feature1/test_plans/regression/agent_evaluation/evaluation-finished.json
slack,kimi_k3_gke,feature1,test1,44,80,55.00,8,5,3,0,False,False,False,False,86,/workspace/results/slack/kimi_k3_gke/feature1/test_plans/test1/agent_evaluation/evaluation-finished.json
slack,kimi_k3_gke,feature1,test2,7,76,9.21,9,2,7,0,False,False,False,False,86,/workspace/results/slack/kimi_k3_gke/feature1/test_plans/test2/agent_evaluation/evaluation-finished.json
slack,kimi_k3_gke,feature1,test3,0,66,0.00,8,0,8,0,False,True,False,False,86,/workspace/results/slack/kimi_k3_gke/feature1/test_plans/test3/agent_evaluation/evaluation-finished.json
slack,kimi_k3_gke,feature3,regression,8,40,20.00,4,1,3,0,False,False,False,False,286,/workspace/results/slack/kimi_k3_gke/feature3/test_plans/regression/agent_evaluation/evaluation-finished.json
slack,kimi_k3_gke,feature3,test1,34,48,70.83,6,4,2,0,False,False,False,False,286,/workspace/results/slack/kimi_k3_gke/feature3/test_plans/test1/agent_evaluation/evaluation-finished.json
slack,kimi_k3_gke,feature3,test2,31,67,46.27,8,4,4,0,False,False,False,False,286,/workspace/results/slack/kimi_k3_gke/feature3/test_plans/test2/agent_evaluation/evaluation-finished.json
srm,kimi_k3_gke,feature1,test1,68,68,100.00,10,10,0,0,True,False,False,False,130,/workspace/results/srm/kimi_k3_gke/feature1/test_plans/test1/agent_evaluation/evaluation-finished.json
srm,kimi_k3_gke,feature1,test2,64,64,100.00,10,10,0,0,True,False,False,False,130,/workspace/results/srm/kimi_k3_gke/feature1/test_plans/test2/agent_evaluation/evaluation-finished.json
srm,kimi_k3_gke,feature2,test1,70,70,100.00,9,9,0,0,True,False,False,False,149,/workspace/results/srm/kimi_k3_gke/feature2/test_plans/test1/agent_evaluation/evaluation-finished.json
srm,kimi_k3_gke,feature2,test3,58,66,87.88,6,5,1,0,False,False,False,False,149,/workspace/results/srm/kimi_k3_gke/feature2/test_plans/test3/agent_evaluation/evaluation-finished.json
srm,kimi_k3_gke,feature2,test4,45,57,78.95,6,5,3,0,False,False,False,False,149,/workspace/results/srm/kimi_k3_gke/feature2/test_plans/test4/agent_evaluation/evaluation-finished.json
srm,kimi_k3_gke,feature3,regression,13,79,16.46,14,2,12,0,False,False,False,False,128,/workspace/results/srm/kimi_k3_gke/feature3/test_plans/regression/agent_evaluation/evaluation-finished.json
srm,kimi_k3_gke,feature3,test2,44,50,88.00,6,5,1,0,False,False,False,False,128,/workspace/results/srm/kimi_k3_gke/feature3/test_plans/test2/agent_evaluation/evaluation-finished.json
